Year,County_of_Residence,County_of_Residence_FIPS,Maternal_Morbidity_Desc,Maternal_Morbidity_YN,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Vigo County, IN",18167,None checked,1,1123,26.85,38.23,38.25,3265.79,27.88,11.41
2018-01-01,"Allen County, OH",39003,None checked,1,1231,27.25,38.15,38.25,3236.25,27.98,11.89
2018-01-01,"Tulsa County, OK",40143,None checked,1,8837,28.12,38.18,38.25,3241.34,27.6,11.05
2018-01-01,"Potter County, TX",48375,None checked,1,1608,26.7,38.32,38.25,3169.52,27.77,10.34
2018-01-01,"Hillsborough County, FL",12057,None checked,1,16868,28.97,38.41,38.5,3229.83,26.77,10.64
2018-01-01,"Osceola County, FL",12097,None checked,1,4412,28.64,38.3,38.5,3230.82,27.08,11.41
2018-01-01,"Coweta County, GA",13077,None checked,1,1561,28.63,38.17,38.5,3242.92,27.43,11.65
2018-01-01,"St. Tammany Parish, LA",22103,None checked,1,2907,29.11,38.31,38.5,3264.67,27.01,11.29
2018-01-01,"Sarpy County, NE",31153,None checked,1,2354,29.43,38.3,38.5,3342.26,27.01,12.4
2018-01-01,"Licking County, OH",39089,None checked,1,1954,28.36,38.38,38.5,3270.61,27.55,10.75
2018-01-01,"Hays County, TX",48209,None checked,1,2545,29.41,38.36,38.5,3304.96,27.08,10.98
2018-01-01,"Davis County, UT",49011,None checked,1,5214,29.19,38.35,38.5,3278.47,26.3,11.4
2018-01-01,"Alameda County, CA",06001,None checked,1,17933,31.61,38.65,38.75,3278.79,25.95,10.68
2018-01-01,"Monterey County, CA",06053,None checked,1,5821,28.9,38.67,38.75,3315.96,28.01,12.26
2018-01-01,"San Luis Obispo County, CA",06079,None checked,1,2404,30.06,38.64,38.75,3353.68,26.51,12.82
2018-01-01,"Stanislaus County, CA",06099,None checked,1,7217,28.51,38.6,38.75,3332.8,28.31,13.01
2018-01-01,"Jefferson County, CO",08059,None checked,1,5593,30.8,38.76,38.75,3215.08,25.41,10.32
2018-01-01,"Worcester County, MA",25027,None checked,1,8058,30.1,38.61,38.75,3291.42,27.1,11.57
2018-01-01,"Berrien County, MI",26021,None checked,1,1660,28.1,38.65,38.75,3294.08,28.38,11.52
2018-01-01,"Kalamazoo County, MI",26077,None checked,1,3027,28.67,38.67,38.75,3333.63,27.86,15.96
2018-01-01,"Washington County, MN",27163,None checked,1,2676,30.8,38.55,38.75,3339.4,27.2,11.76
2018-01-01,"Unidentified Counties, MN",27999,None checked,1,22054,28.86,38.59,38.75,3375.12,27.99,11.38
2018-01-01,"Franklin County, MO",29071,None checked,1,1148,27.88,38.45,38.75,3325.22,28.01,11.79
2018-01-01,"Mercer County, PA",42085,None checked,1,1019,27.85,38.45,38.75,3253.81,27.29,10.82
2018-01-01,"Dane County, WI",55025,None checked,1,5577,30.78,38.6,38.75,3333.0,26.3,12.8
2018-01-01,"Kenosha County, WI",55059,None checked,1,1767,28.62,38.55,38.75,3302.86,28.36,11.59
2018-01-01,"Marin County, CA",06041,None checked,1,2101,33.34,38.9,39.0,3372.58,24.97,10.28
2018-01-01,"Chittenden County, VT",50007,None checked,1,1345,30.92,38.85,39.0,3358.16,26.18,12.57
2018-01-01,"Unidentified Counties, VT",50999,None checked,1,3964,29.23,38.75,39.0,3339.31,28.17,12.91
2018-01-01,"Rapides Parish, LA",22079,None checked,1,1712,26.83,38.08,35.5,3154.81,28.02,10.81
2018-01-01,"Caddo Parish, LA",22017,None checked,1,3050,27.0,37.81,37.75,3102.51,28.44,11.37
2018-01-01,"Bossier Parish, LA",22015,None checked,1,1687,27.68,37.95,38.08,3181.63,27.56,11.63
2018-01-01,"Miami-Dade County, FL",12086,None checked,1,30596,30.25,38.34,38.33,3229.25,25.85,11.91
2018-01-01,"Henry County, GA",13151,None checked,1,2680,28.66,38.11,38.33,3158.31,28.05,10.63
2018-01-01,"Madison County, IL",17119,None checked,1,2818,28.43,38.16,38.33,3230.95,28.44,10.87
2018-01-01,"Orleans Parish, LA",22071,None checked,1,4576,29.08,38.1,38.33,3106.99,27.1,11.22
2018-01-01,"Gregg County, TX",48183,None checked,1,1643,26.72,38.08,38.33,3215.25,27.93,11.27
2018-01-01,"Lake County, FL",12069,None checked,1,3329,28.48,38.34,38.58,3248.55,27.29,9.83
2018-01-01,"Hendricks County, IN",18063,None checked,1,1594,29.54,38.47,38.58,3361.85,27.43,12.23
2018-01-01,"Hudson County, NJ",34017,None checked,1,10115,31.08,38.47,38.58,3208.35,25.47,10.26
2018-01-01,"Berkeley County, SC",45015,None checked,1,2761,28.44,38.3,38.58,3256.9,28.2,10.87
2018-01-01,"Sullivan County, TN",47163,None checked,1,1471,27.34,38.46,38.58,3278.8,27.61,10.65
2018-01-01,"Newport News city, VA",51700,None checked,1,2648,27.73,38.38,38.58,3207.17,28.26,11.91
2018-01-01,"Yolo County, CA",06113,None checked,1,2109,30.23,38.73,38.83,3367.37,27.41,12.17
2018-01-01,"Tazewell County, IL",17179,None checked,1,1361,28.62,38.53,38.83,3380.0,28.12,12.1
2018-01-01,"York County, ME",23031,None checked,1,1840,29.47,38.63,38.83,3340.23,27.57,13.3
2018-01-01,"Scott County, MN",27139,None checked,1,1691,30.75,38.62,38.83,3361.65,27.07,12.25
2018-01-01,"Unidentified Counties, NJ",34999,None checked,1,1402,28.47,38.69,38.83,3312.56,27.53,9.93
2018-01-01,"Dutchess County, NY",36027,None checked,1,2515,30.54,38.65,38.83,3327.75,27.84,12.01
2018-01-01,"Northampton County, PA",42095,None checked,1,2881,29.6,38.72,38.83,3287.33,27.24,13.9
2018-01-01,"Clark County, WA",53011,None checked,1,5346,29.23,38.77,38.83,3338.0,26.83,11.09
2018-01-01,"Unidentified Counties, WI",55999,None checked,1,20536,28.9,38.62,38.83,3376.67,28.24,11.64
2018-01-01,"Calhoun County, MI",26025,None checked,1,1514,27.2,38.72,39.08,3291.42,28.11,13.97
2018-01-01,"Ocean County, NJ",34029,None checked,1,8937,29.59,38.89,39.08,3345.62,25.4,10.97
2018-01-01,"Fayette County, GA",13113,None checked,1,862,30.32,38.24,38.16,3232.08,26.57,12.02
2018-01-01,"Muscogee County, GA",13215,None checked,1,2824,27.33,38.08,38.16,3149.8,27.34,11.56
2018-01-01,"St. Louis city, MO",29510,None checked,1,4086,28.67,38.15,38.16,3123.18,27.28,9.78
2018-01-01,"Alachua County, FL",12001,None checked,1,2728,29.17,38.26,38.41,3189.71,26.97,10.74
2018-01-01,"Gwinnett County, GA",13135,None checked,1,10777,29.89,38.35,38.41,3209.55,26.74,12.24
2018-01-01,"Marion County, IN",18097,None checked,1,13886,28.19,38.33,38.41,3228.52,28.34,10.78
2018-01-01,"Cuyahoga County, OH",39035,None checked,1,13504,28.85,38.27,38.41,3184.53,27.52,11.75
2018-01-01,"Unidentified Counties, OK",40999,None checked,1,22888,26.69,38.23,38.41,3271.98,28.07,10.82
